phase,phase_time_label,phase_name_ar,component,red_action,red_why,blue_action,blue_why,combined_effect,red_inventory,red_cum_losses,blue_inventory,blue_cum_losses,red_ammo,blue_ammo
0,D-7,تمهيد - الوضع قبل العمليات,land,R-d2-414-006: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],B-d0-99-001: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],Local model fallback used after invalid adjudicator output. No additional combat effects were applied this phase.,"naval 18/18, air 4/4, ground 11/11, sof 1/1",0,"naval 12/12, air 4/4, ground 20/20",0,airframes=32,airframes=14
1,D-5,تبادل صواريخ استراتيجية,land,R-d2-414-006: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],B-d0-99-001: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],Local model fallback used after invalid adjudicator output. No additional combat effects were applied this phase.,"naval 18/18, air 4/4, ground 11/11, sof 1/1",0,"naval 12/12, air 4/4, ground 20/20",0,airframes=32,airframes=14
2,D-3,حملة قمع الدفاع الجوي SEAD,land,R-d2-414-006: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],B-d0-99-001: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],Local model fallback used after invalid adjudicator output. No additional combat effects were applied this phase.,"naval 18/18, air 4/4, ground 11/11, sof 1/1",0,"naval 12/12, air 4/4, ground 20/20",0,airframes=32,airframes=14
3,D-2,اشتباك بحري سطحي + ASW,land,R-d2-414-006: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],B-d0-99-001: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],Local model fallback used after invalid adjudicator output. No additional combat effects were applied this phase.,"naval 18/18, air 4/4, ground 11/11, sof 1/1",0,"naval 12/12, air 4/4, ground 20/20",0,airframes=32,airframes=14
4,D-1,تطهير حقول الألغام البحرية,land,R-d2-414-006: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],B-d0-99-001: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],Local model fallback used after invalid adjudicator output. No additional combat effects were applied this phase.,"naval 18/18, air 4/4, ground 11/11, sof 1/1",0,"naval 12/12, air 4/4, ground 20/20",0,airframes=32,airframes=14
5,D-H,الضربة المركزة متعددة الاتجاهات + الإنزال,land,R-d2-414-006: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],B-d0-99-001: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],Local model fallback used after invalid adjudicator output. No additional combat effects were applied this phase.,"naval 18/18, air 4/4, ground 11/11, sof 1/1",0,"naval 12/12, air 4/4, ground 20/20",0,airframes=32,airframes=14
6,D+2h,اقتحام الشاطئ - المرحلة 1 (طلائع),land,R-d2-414-006: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],B-d0-99-001: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],Local model fallback used after invalid adjudicator output. No additional combat effects were applied this phase.,"naval 18/18, air 4/4, ground 11/11, sof 1/1",0,"naval 12/12, air 4/4, ground 20/20",0,airframes=32,airframes=14
7,D+6h,المرحلة 2أ - الموجة الرئيسية للفرقة 4,land,R-d2-414-006: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],B-d0-99-001: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],Local model fallback used after invalid adjudicator output. No additional combat effects were applied this phase.,"naval 18/18, air 4/4, ground 11/11, sof 1/1",0,"naval 12/12, air 4/4, ground 20/20",0,airframes=32,airframes=14
8,D+12h,تكوين رأس الجسر,land,R-d2-414-006: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],B-d0-99-001: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],Local model fallback used after invalid adjudicator output. No additional combat effects were applied this phase.,"naval 18/18, air 4/4, ground 11/11, sof 1/1",0,"naval 12/12, air 4/4, ground 20/20",0,airframes=32,airframes=14
9,D+24h,الهجوم الأزرق المضاد الأول (لواء 72 المدرع),land,R-d2-414-006: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],B-d0-99-001: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],Local model fallback used after invalid adjudicator output. No additional combat effects were applied this phase.,"naval 18/18, air 4/4, ground 11/11, sof 1/1",0,"naval 12/12, air 4/4, ground 20/20",0,airframes=32,airframes=14
10,D+36h,الفرقة 9 تلتحق - دفع 8-10 كم,land,R-d2-414-006: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],B-d0-99-001: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],Local model fallback used after invalid adjudicator output. No additional combat effects were applied this phase.,"naval 18/18, air 4/4, ground 11/11, sof 1/1",0,"naval 12/12, air 4/4, ground 20/20",0,airframes=32,airframes=14
11,D+48h,اندفاع نحو 40-50 كم,land,R-d2-414-006: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],B-d0-99-001: Held position - local model fallback after invalid structured output.,Fallback preserves run continuity; original error: LLM_LOCAL_FORCE_FALLBACK=1 [refs: local-model-fallback],Local model fallback used after invalid adjudicator output. No additional combat effects were applied this phase.,"naval 18/18, air 4/4, ground 11/11, sof 1/1",0,"naval 12/12, air 4/4, ground 20/20",0,airframes=32,airframes=14
